nom;cognom;numLlicencia;pes;alçada;titular;rol;dorsal;idEquip
"J1";"CJ1";"NJ";70;170;1;Porter;1;"EQ002"
"J2";"CJ2";"NJ";70;170;1;ExtremDret;2;"EQ002"
"J3";"CJ3";"NJ";70;170;1;ExtermEsquerra;3;"EQ002"
"J4";"CJ4";"NJ";70;170;1;LateralDret;4;"EQ002"
"J5";"CJ5";"NJ";70;170;1;LateralEsquerra;5;"EQ002"
"J6";"CJ6";"NJ";70;170;1;CentralCentre;6;"EQ002"
"J7";"CJ7";"NJ";70;170;1;Pivot;7;"EQ002"
"J8";"CJ8";"NJ";70;170;0;LateralDret;8;"EQ002"
"J9";"CJ9";"NJ";70;170;0;ExtremEsquerra;9;"EQ002"
"J10";"CJ10";"NJ";70;170;CentralAvancat;rol;10;"EQ002"
"J11";"CJ11";"NJ";70;170;CentralCentre;rol;11;"EQ002"
"J12";"CJ12";"NJ";70;170;0;Porter;12;"EQ002"
"J21";"CJ21";"NJ";70;170;1;Porter;1;"EQ003"
"J22";"CJ22";"NJ";70;170;0;rol;ExtremEsquerra;"EQ003"
"J23";"CJ23";"NJ";70;170;0;rol;Pivot;"EQ003"
"J24";"CJ24";"NJ";70;170;0;LateralDret;4;"EQ003"
"J25";"CJ25";"NJ";70;170;0;ExtremDret;5;"EQ003"
"J26";"CJ26";"NJ";70;170;1;LateralDret;6;"EQ003"
"J27";"CJ27";"NJ";70;170;1;LateralEsquerra;7;"EQ003"
"J28";"CJ28";"NJ";70;170;1;ExtremDret;8;"EQ003"
"J29";"CJ29";"NJ";70;170;1;ExtremEsquerra;9;"EQ003"
"J30";"CJ30";"NJ";70;170;1;CentralCentre;10;"EQ003"
"J31";"CJ31";"NJ";70;170;1;Pivot;11;"EQ003"
"J32";"CJ32";"NJ";70;170;0;Porter;12;"EQ003"
